"","Filename","User","Frame","Full_Time","Full_Distance","Frame_Time","Frame_Distance","Acc_mean_X","Acc_mean_Y","Acc_mean_Z","Acc_std_X","Acc_std_Y","Acc_std_Z","Acc_mad_X","Acc_mad_Y","Acc_mad_Z","Acc_max_X","Acc_max_Y","Acc_max_Z","Acc_min_X","Acc_min_Y","Acc_min_Z","Acc_sma","Acc_energy_X","Acc_energy_Y","Acc_energy_Z","Acc_iqr_X","Acc_iqr_Y","Acc_iqr_Z","Acc_entropy_X","Acc_entropy_Y","Acc_entropy_Z","Acc_correlation_X.Y","Acc_correlation_X.Z","Acc_correlation_Y.Z","Acc_skewness_X","Acc_skewness_Y","Acc_skewness_Z","Acc_kurtosis_X","Acc_kurtosis_Y","Acc_kurtosis_Z"
"667","u03_moving_rightarm_20_s_2_12","u03","20_s_2_12",3.22257643069183,20,0.483367936,2.99988500751388,-0.04907141076,0.0045992616,-0.070005418472,0.262722366347369,0.167084261034278,0.501888478380621,-0.10140574,0.005970955,0.0035514832,0.5118741,0.25548744,0.32347584,-0.43919194,-0.40195167,-2.40131,0.526687613248,0.0686701234619711,0.0268216174812213,0.246717121557407,0.288013458,0.146769644,0.166451454,4.29212356575657,-4.37586576824041,0.995280544066864,0.0948759185336814,-0.517498656567864,-0.0822218242552383,0.822496299319742,-0.690261110944899,-3.96079312949228,-0.108172703477319,0.267671738333607,15.6528572288616
"668","u03_moving_rightarm_20_s_2_13","u03","20_s_2_13",3.22257643069183,20,0.299774208,1.86046298325122,-0.2270576359375,0.0198755933125,-0.0141845343125,0.455557001068512,0.127714559791293,0.693713685405132,-0.154109,0.019444704,0.078037738,0.509763,0.22373629,1.087122,-1.3727531,-0.27809203,-2.40131,0.7413432113125,0.246116589933654,0.0156866099432899,0.451362460999635,0.34560820025,0.1263956735,0.16034675,2.18705242325819,2.57041084630221,-23.8500161500643,-0.195124417429616,-0.39816167722084,-0.158972857836085,-1.05172454781292,-0.407780512338497,-2.28115262359424,0.766211222094336,-0.210177753988947,6.16768718009797
"669","u03_moving_rightarm_20_s_2_2","u03","20_s_2_2",3.22257643069183,20,0.484234496,3.00526306459731,0.109211300644,-0.149112581732,-0.002908973544,0.14249890298154,0.112572389894171,0.112603672025851,0.10651788,-0.16006541,-0.020246506,0.38742727,0.04707682,0.23271751,-0.1836204,-0.41175103,-0.22213745,0.378225701712,0.0314208080452587,0.0344002032786082,0.012180865602637,0.20239779,0.14087283,0.145075795,2.87140474598302,2.99434401862505,-4.81475574771475,0.110215743577633,-0.406079511834058,-0.0980006638221492,0.214666236293037,-0.166102113653696,0.301945719899017,-0.683550818890593,-0.445216320203254,-0.382168864286346
"670","u03_moving_rightarm_20_s_2_3","u03","20_s_2_3",3.22257643069183,20,0.483367936,2.99988500751388,0.047214409724,-0.11436492892,-0.011436462132,0.117750924449547,0.110239637218612,0.103776948245139,0.03911537,-0.111828685,-0.039491653,0.26212493,0.10319853,0.23271751,-0.1836204,-0.3170253,-0.18739223,0.318822232536,0.0155398694859599,0.0247460034764041,0.0104696614536879,0.16145694,0.152451278,0.10140991,3.36399462891382,3.04564709735646,4.96229659757495,-0.177597445184489,-0.285744669719646,-0.40697325864821,-0.177033993322837,0.25301703204485,0.820882216129518,-0.806473990592028,-0.889250669431664,-0.0018178942092919
"671","u03_moving_rightarm_20_s_2_4","u03","20_s_2_4",3.22257643069183,20,0.482574591999996,2.99496134461826,0.04305646084,-0.05533496348,0.02644100242,0.128128006287586,0.0977535496005438,0.0937047417556432,0.049202204,-0.04519403,0.031025887,0.32144994,0.10319853,0.21355534,-0.1836204,-0.24587739,-0.18739223,0.27419476942,0.0176139733754889,0.0122354843844587,0.00912848209136655,0.197025388,0.153424259,0.110122677,3.40799692803897,3.0644535736365,3.54206266907143,-0.122370265458903,0.0807877772153567,-0.357235884733869,0.0641899638720672,-0.183356796463838,-0.138330045892551,-0.791484729593833,-0.885829996008848,-0.492561221808138
"672","u03_moving_rightarm_20_s_2_5","u03","20_s_2_5",3.22257643069183,20,0.483337471999996,2.99969594140073,-0.01157885384,-0.03450735088,0.02751544982,0.198471441440967,0.0933185092241133,0.0987473125278557,0.032508165,-0.027157307,0.032271385,0.32144994,0.1169399,0.18727112,-0.57869244,-0.19618571,-0.1713562,0.30532691162,0.037949346401197,0.00955076766201392,0.010118090441012,0.180945576,0.136231426,0.147952076,0.292254412765429,3.32881879754311,3.82591016392728,0.196863966044406,-0.331784451497347,-0.50578172970959,-1.16154463846395,-0.0409382207262246,-0.373815606938351,1.44696420478344,-1.30867143713979,-0.79114608686759
"673","u03_moving_rightarm_20_s_2_6","u03","20_s_2_6",3.22257643069183,20,0.4833984,3.000074073627,-0.05376332106,-0.03227294472,0.002760620104,0.208460925967794,0.0912653301035046,0.114917703616571,-0.014049679,-0.027157307,-0.0050001144,0.3359459,0.1169399,0.18727112,-0.57869244,-0.19618571,-0.1940155,0.329443478676,0.0446082140405366,0.00903772902064577,0.0126854564836844,0.21803319,0.130761625,0.1563921,3.10542005765956,3.21331742042314,-9.62820083034185,0.228630671209674,-0.378368541091381,-0.353887592677943,-0.614941603989644,-0.361160563791821,-0.1001934532272,0.218606025381434,-1.18473539326698,-1.21427020874142
"674","u03_moving_rightarm_20_s_2_7","u03","20_s_2_7",3.22257643069183,20,0.48745728,3.02526435281693,0.00906111838,-0.04412118848,-0.005500488348,0.152141348078936,0.104446114861271,0.144984923742553,0.008982956,-0.033652663,0.018501282,0.3359459,0.120712996,0.18292904,-0.30841374,-0.3050574,-0.40803528,0.312595564728,0.0223032140697612,0.0124193105461169,0.0202100583601951,0.210361421,0.13973522,0.2181015,2.3730386917647,2.97399148311111,-3.52395325285348,0.0973514546872309,-0.0622697287988057,-0.454114915641735,-0.0401409273170067,-0.655900801571836,-0.858305540935074,-0.413223523151048,-0.47633150441559,0.205825864542064
"675","u03_moving_rightarm_20_s_2_8","u03","20_s_2_8",3.22257643069183,20,0.483367936,2.99988500751388,-0.03215676348,-0.0132551182,0.019994087188,0.187787609773569,0.149032369766511,0.128571888047883,-0.008352578,0.01627326,0.031425476,0.20534372,0.22856748,0.18292904,-0.54684556,-0.3050574,-0.40803528,0.340983918972,0.0348876763666002,0.0214979195071891,0.0162692647028308,0.210361421,0.153776285,0.06991768,2.94241826533035,3.06985132357209,4.61789010395534,-0.125996204043481,-0.0899456859484628,-0.224528952535288,-1.23498661928646,-0.202070838678333,-1.64353855387295,1.32099182355054,-0.850653321445909,2.85755140237417
"676","u03_moving_rightarm_20_s_2_9","u03","20_s_2_9",3.22257643069183,20,0.49954227200001,3.10026640325652,-0.0702660909230769,0.00733218361538462,0.0263530292746154,0.194535583405333,0.143042229093926,0.0492151430790516,-0.07208371,-0.0018138885,0.022526264,0.34110868,0.22856748,0.13173008,-0.54684556,-0.2869619,-0.095274925,0.320972052417692,0.0413258746978921,0.0197278756321074,0.00302345360222904,0.1958143555,0.20953402,0.06244969342,3.39922816272597,1.89316482572589,3.25502237807322,0.105708242414977,-0.130685433236745,-0.0928291121283066,-0.398865829460894,-0.0473330961472893,-0.288083316628084,0.584757204115523,-1.08712009617587,-0.0205090483745685
